date,co2
1970/11/1,323.85
1970/12/1,324.96
1971/1/1,326.01
1971/2/1,326.51
1971/3/1,327.01
1971/4/1,327.62
1971/5/1,328.76
1971/6/1,328.4
1971/7/1,327.2
1971/8/1,325.27
1971/9/1,323.2
1971/10/1,323.4
1971/11/1,324.63
1971/12/1,325.85
1972/1/1,326.6
1972/2/1,327.47
1972/3/1,327.58
1972/4/1,329.56
1972/5/1,329.9
1972/6/1,328.92
1972/7/1,327.88
1972/8/1,326.16
1972/9/1,324.68
1972/10/1,325.04
1972/11/1,326.34
1972/12/1,327.39
1973/1/1,328.37
1973/2/1,329.4
1973/3/1,330.14
1973/4/1,331.33
1973/5/1,332.31
1973/6/1,331.9
1973/7/1,330.7
1973/8/1,329.15
1973/9/1,327.35
1973/10/1,327.02
1973/11/1,327.99
1973/12/1,328.48
1974/1/1,329.18
1974/2/1,330.55
1974/3/1,331.32
1974/4/1,332.48
1974/5/1,332.92
1974/6/1,332.08
1974/7/1,331.01
1974/8/1,329.23
1974/9/1,327.27
1974/10/1,327.21
1974/11/1,328.29
1974/12/1,329.41
1975/1/1,330.23
1975/2/1,331.25
1975/3/1,331.87
1975/4/1,333.14
1975/5/1,333.8
1975/6/1,333.43
1975/7/1,331.73
1975/8/1,329.9
1975/9/1,328.4
1975/10/1,328.17
1975/11/1,329.32
1975/12/1,330.59
1976/1/1,331.58
1976/2/1,332.39
1976/3/1,333.33
1976/4/1,334.41
1976/5/1,334.71
1976/6/1,334.17
1976/7/1,332.89
1976/8/1,330.77
1976/9/1,329.14
1976/10/1,328.78
1976/11/1,330.14
1976/12/1,331.52
1977/1/1,332.75
1977/2/1,333.24
1977/3/1,334.53
1977/4/1,335.9
1977/5/1,336.57
1977/6/1,336.1
1977/7/1,334.76
1977/8/1,332.59
1977/9/1,331.42
1977/10/1,330.98
1977/11/1,332.24
1977/12/1,333.68
1978/1/1,334.8
1978/2/1,335.22
1978/3/1,336.47
1978/4/1,337.59
1978/5/1,337.84
1978/6/1,337.72
1978/7/1,336.37
1978/8/1,334.51
1978/9/1,332.6
1978/10/1,332.38
1978/11/1,333.75
1978/12/1,334.78
1979/1/1,336.05
1979/2/1,336.59
1979/3/1,337.79
1979/4/1,338.71
1979/5/1,339.3
1979/6/1,339.12
1979/7/1,337.56
1979/8/1,335.92
1979/9/1,333.75
1979/10/1,333.7
1979/11/1,335.12
1979/12/1,336.56
1980/1/1,337.84
1980/2/1,338.19
1980/3/1,339.91
1980/4/1,340.6
1980/5/1,341.29
1980/6/1,341
1980/7/1,339.39
1980/8/1,337.43
1980/9/1,335.72
1980/10/1,335.84
1980/11/1,336.93
1980/12/1,338.04
1981/1/1,339.06
1981/2/1,340.3
1981/3/1,341.21
1981/4/1,342.33
1981/5/1,342.74
1981/6/1,342.08
1981/7/1,340.32
1981/8/1,338.26
1981/9/1,336.52
1981/10/1,336.68
1981/11/1,338.19
1981/12/1,339.44
1982/1/1,340.57
1982/2/1,341.44
1982/3/1,342.53
1982/4/1,343.39
1982/5/1,343.96
1982/6/1,343.18
1982/7/1,341.88
1982/8/1,339.65
1982/9/1,337.81
1982/10/1,337.69
1982/11/1,339.09
1982/12/1,340.32
1983/1/1,341.2
1983/2/1,342.35
1983/3/1,342.93
1983/4/1,344.77
1983/5/1,345.58
1983/6/1,345.14
1983/7/1,343.81
1983/8/1,342.21
1983/9/1,339.69
1983/10/1,339.82
1983/11/1,340.98
1983/12/1,342.82
1984/1/1,343.52
1984/2/1,344.33
1984/3/1,345.11
1984/4/1,346.88
1984/5/1,347.25
1984/6/1,346.62
1984/7/1,345.22
1984/8/1,343.11
1984/9/1,340.9
1984/10/1,341.18
1984/11/1,342.8
1984/12/1,344.04
1985/1/1,344.79
1985/2/1,345.82
1985/3/1,347.25
1985/4/1,348.17
1985/5/1,348.74
1985/6/1,348.07
1985/7/1,346.38
1985/8/1,344.51
1985/9/1,342.92
1985/10/1,342.62
1985/11/1,344.06
1985/12/1,345.38
1986/1/1,346.11
1986/2/1,346.78
1986/3/1,347.68
1986/4/1,349.37
1986/5/1,350.03
1986/6/1,349.37
1986/7/1,347.76
1986/8/1,345.73
1986/9/1,344.68
1986/10/1,343.99
1986/11/1,345.48
1986/12/1,346.72
1987/1/1,347.84
1987/2/1,348.29
1987/3/1,349.23
1987/4/1,350.8
1987/5/1,351.66
1987/6/1,351.07
1987/7/1,349.33
1987/8/1,347.92
1987/9/1,346.27
1987/10/1,346.18
1987/11/1,347.64
1987/12/1,348.78
1988/1/1,350.25
1988/2/1,351.54
1988/3/1,352.05
1988/4/1,353.41
1988/5/1,354.04
1988/6/1,353.62
1988/7/1,352.22
1988/8/1,350.27
1988/9/1,348.55
1988/10/1,348.72
1988/11/1,349.91
1988/12/1,351.18
1989/1/1,352.6
1989/2/1,352.92
1989/3/1,353.53
1989/4/1,355.26
1989/5/1,355.52
1989/6/1,354.97
1989/7/1,353.75
1989/8/1,351.52
1989/9/1,349.64
1989/10/1,349.83
1989/11/1,351.14
1989/12/1,352.37
1990/1/1,353.5
1990/2/1,354.55
1990/3/1,355.23
1990/4/1,356.04
1990/5/1,357
1990/6/1,356.07
1990/7/1,354.67
1990/8/1,352.76
1990/9/1,350.82
1990/10/1,351.04
1990/11/1,352.69
1990/12/1,354.07
1991/1/1,354.59
1991/2/1,355.63
1991/3/1,357.03
1991/4/1,358.48
1991/5/1,359.22
1991/6/1,358.12
1991/7/1,356.06
1991/8/1,353.92
1991/9/1,352.05
1991/10/1,352.11
1991/11/1,353.64
1991/12/1,354.89
1992/1/1,355.88
1992/2/1,356.63
1992/3/1,357.72
1992/4/1,359.07
1992/5/1,359.58
1992/6/1,359.17
1992/7/1,356.94
1992/8/1,354.92
1992/9/1,352.94
1992/10/1,353.23
1992/11/1,354.09
1992/12/1,355.33
1993/1/1,356.63
1993/2/1,357.1
1993/3/1,358.32
1993/4/1,359.41
1993/5/1,360.23
1993/6/1,359.55
1993/7/1,357.53
1993/8/1,355.48
1993/9/1,353.67
1993/10/1,353.95
1993/11/1,355.3
1993/12/1,356.78
1994/1/1,358.34
1994/2/1,358.89
1994/3/1,359.95
1994/4/1,361.25
1994/5/1,361.67
1994/6/1,360.94
1994/7/1,359.55
1994/8/1,357.49
1994/9/1,355.84
1994/10/1,356
1994/11/1,357.59
1994/12/1,359.05
1995/1/1,359.98
1995/2/1,361.03
1995/3/1,361.66
1995/4/1,363.48
1995/5/1,363.82
1995/6/1,363.3
1995/7/1,361.94
1995/8/1,359.5
1995/9/1,358.11
1995/10/1,357.8
1995/11/1,359.61
1995/12/1,360.74
1996/1/1,362.09
1996/2/1,363.29
1996/3/1,364.06
1996/4/1,364.76
1996/5/1,365.45
1996/6/1,365.01
1996/7/1,363.7
1996/8/1,361.54
1996/9/1,359.51
1996/10/1,359.65
1996/11/1,360.8
1996/12/1,362.38
1997/1/1,363.23
1997/2/1,364.06
1997/3/1,364.61
1997/4/1,366.4
1997/5/1,366.84
1997/6/1,365.68
1997/7/1,364.52
1997/8/1,362.57
1997/9/1,360.24
1997/10/1,360.83
1997/11/1,362.49
1997/12/1,364.34
